Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Regression Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Resilience Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Scalability Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Stress Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,System Integration Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,System Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Unit Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Usability Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,User Acceptance Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Volume Testing,,,,
Information Technology,Specialization / Activities,Testing,Type of Testing,Web Testing,,,,
Information Technology,Specialization / Activities,Architect,Experience,Understanding Business Requirements,,,,
Information Technology,Specialization / Activities,Architect,Experience,Translating Business Requirements to Technical Requirements,,,,
Information Technology,Specialization / Activities,Architect,Experience,Selection of Technologies,,,,
Information Technology,Specialization / Activities,Architect,Experience,Selection of Architecture Framework,,,,
Information Technology,Specialization / Activities,Architect,Experience,Defining Standards and Metrics,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing Technology Architecture,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing Application Architecture,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing System Architecture,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing Infrastructure Architecture,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing Data Architecture,,,,
Information Technology,Specialization / Activities,Architect,Experience,Developing System Documentation,,,,
Information Technology,Specialization / Activities,Architect,Experience,Managing Change Requests,,,,
Information Technology,Specialization / Activities,Architect,Experience,Analyzing and Resolving System Issues,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Desktop Applications,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Web Applications,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Mobile Applications,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Cloud / SAAS Applications,,,,
Information Technology,Specialization / Activities,Architect,Type of System,System Software,,,,
Information Technology,Specialization / Activities,Architect,Type of System,IT Infrastructure Systems,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Network,,,,
Information Technology,Specialization / Activities,Architect,Type of System,Data Center,,,,
Information Technology,Specialization / Activities,Architect,Type of System,SOA Applications,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Visualization,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Creating Prototype/Mockups,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Creating wireframe,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Testing for Performance Across Devices,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Testing for Usability,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Testing for compatibility,,,,
Information Technology,Specialization / Activities,UI / UX Development,Experience,Conforming to Standards,,,,
Information Technology,Specialization / Activities,UI / UX Development,UI Development for,Desktop Applications,,,,
Information Technology,Specialization / Activities,UI / UX Development,UI Development for,Games,,,,
Information Technology,Specialization / Activities,UI / UX Development,UI Development for,Mobile Applications,,,,
Information Technology,Specialization / Activities,UI / UX Development,UI Development for,Web Applications,,,,
Information Technology,Specialization / Activities,Database Development,Data Modeling,Build Class Structures,,,,
Information Technology,Specialization / Activities,Database Development,Data Modeling,Define/Use Different Types of Keys,,,,
Information Technology,Specialization / Activities,Database Development,Data Modeling,"Define/Use Methods, Attributes, Inheritances",,,,
Information Technology,Specialization / Activities,Database Development,Data Modeling,Develop Entity Relationship Diagrams,,,,
Information Technology,Specialization / Activities,Database Development,Data Modeling,Develop UML Diagrams,,,,
Information Technology,Specialization / Activities,Database Development,Requirement Analysis,,,,,
Information Technology,Specialization / Activities,Database Development,Creating Tables,,,,,
Information Technology,Specialization / Activities,Database Development,Development of Forms,,,,,
Information Technology,Specialization / Activities,Database Development,Development of Functions,,,,,
Information Technology,Specialization / Activities,Database Development,Development of Procedures,,,,,
Information Technology,Specialization / Activities,Database Development,Development of Triggers,,,,,
Information Technology,Specialization / Activities,Database Development,Development of Reports,,,,,
Information Technology,Specialization / Activities,Database Development,Programming / Writing Code,,,,,
Information Technology,Specialization / Activities,Database Development,Querying / Query Optimization,,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,Database Creation,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,Data Management,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,Database Capacity Management,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,Database Monitoring & Performance Tuning,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,Managing Database Instances,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,RAC Administration,,,,
Information Technology,Specialization / Activities,Database Administration,Experience,User Management,,,,
Information Technology,Specialization / Activities,Database Administration,Database,Graph,,,,
Information Technology,Specialization / Activities,Database Administration,Database,NoSQL,,,,
Information Technology,Specialization / Activities,Database Administration,Database,RDBMS,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Modeling,Build Class Structures,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Modeling,Define/Use Different Types of Keys,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Modeling,"Define/Use Methods, Attributes, Inheritances",,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Modeling,Develop Entity Relationship Diagrams,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Modeling,Develop UML Diagrams,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Mart Design,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Mart Development,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Design of BI Solution,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Develop Cubes,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Data Cleansing,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Write Scripts for Automation,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,"Development of Dashboards, Reports",,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Installation / Implementation of BI Solution,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Integration with other Systems,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Schedule Jobs,,,,,
Information Technology,Specialization / Activities,Business Intelligence / Data Warehousing,Configuration of BI Solution,,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Modeling,Define/Use Different Types of Keys,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Modeling,Build Class Structures,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Modeling,"Define/Use Methods, Attributes, Inheritances",,,,
Information Technology,Specialization / Activities,Data Analytics,Data Modeling,Develop UML Diagrams,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Modeling,Develop Entity Relationship Diagrams,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Processing,,,,,
Information Technology,Specialization / Activities,Data Analytics,Using / Deploying Big Data Frameworks,,,,,
Information Technology,Specialization / Activities,Data Analytics,Algorithms for Data Processing,,,,,
Information Technology,Specialization / Activities,Data Analytics,Developing Backend of Solution,,,,,
Information Technology,Specialization / Activities,Data Analytics,Developing Frontend of Solution,,,,,
Information Technology,Specialization / Activities,Data Analytics,Performing Data Analytics,,,,,
Information Technology,Specialization / Activities,Data Analytics,Performing Statistical Analysis,,,,,
Information Technology,Specialization / Activities,Data Analytics,Programming / Writing Code,,,,,
Information Technology,Specialization / Activities,Data Analytics,Shell Scripting,,,,,
Information Technology,Specialization / Activities,Data Analytics,Structured Data,,,,,
Information Technology,Specialization / Activities,Data Analytics,Unstructured Data,,,,,
Information Technology,Specialization / Activities,Data Analytics,Visualization of Data,,,,,
Information Technology,Specialization / Activities,Data Analytics,Data Collection,,,,,
Information Technology,Specialization / Activities,Machine Learning,Experience,Developing System Architecture,,,,
Information Technology,Specialization / Activities,Machine Learning,Experience,Writing Machine Learning Algorithms,,,,
Information Technology,Specialization / Activities,Machine Learning,Experience,Writing Scripts / Scripting,,,,
Information Technology,Specialization / Activities,Machine Learning,Experience,Debugging,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Text Analytics,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Driverless Car,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Financial Markets,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Gesture Reconigition,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Image Reconigition,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Robotics,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Security,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Social Media Analytics,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Speech Synthesis,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Virtual Reality,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Deep Learning,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Bioinformatics,,,,
Information Technology,Specialization / Activities,Machine Learning,Area of Application,Computational Linguistics,,,,
Information Technology,Specialization / Activities,Business Analyst,Preparing Story Narratives,,,,,
Information Technology,Specialization / Activities,Business Analyst,Writing Functional Requirement Document,,,,,
Information Technology,Specialization / Activities,Business Analyst,Writing Business Requirement Document,,,,,
Information Technology,Specialization / Activities,Business Analyst,Creating Process Flow Diagrams,,,,,
Information Technology,Specialization / Activities,Business Analyst,Preparing Use Cases,,,,,
Information Technology,Specialization / Activities,Business Analyst,Preparing Test Cases,,,,,
Information Technology,Specialization / Activities,Business Analyst,User Acceptance Testing,,,,,
Information Technology,Specialization / Activities,Business Analyst,Training Users,,,,,
Information Technology,Specialization / Activities,Business Consultant,Advocating and Championing Change,,,,,
Information Technology,Specialization / Activities,Business Consultant,Driving Change Management,,,,,
Information Technology,Specialization / Activities,Business Consultant,Identifying Areas of Business Process Improvement,,,,,
Information Technology,Specialization / Activities,Business Consultant,Stakeholder Management,,,,,
Information Technology,Specialization / Activities,Business Consultant,Studying and Analyzing Business Processes,,,,,
Information Technology,Specialization / Activities,Business Consultant,Study As Is and Create To Be Processes,,,,,
Information Technology,Specialization / Activities,Technical Consultant,Evangelizing New Technologies,,,,,
Information Technology,Specialization / Activities,Technical Consultant,Making Technology Selection,,,,,
Information Technology,Specialization / Activities,Technical Consultant,Setting and Monitoring Adherence to Standards,,,,,
Information Technology,Specialization / Activities,Technical Consultant,Translating Business Requirements to Technical Requirements,,,,,
Information Technology,Specialization / Activities,Technical Consultant,Understanding of Different Technologies,,,,,
Information Technology,Specialization / Activities,Functional Consultant,Contributing to Defining of Functional Specification,,,,,
Information Technology,Specialization / Activities,Functional Consultant,Helping Implement Solutions,,,,,
Information Technology,Specialization / Activities,Functional Consultant,Educating Others on Functional / Business Processes,,,,,
Information Technology,Specialization / Activities,Functional Consultant,Training Users,,,,,
Information Technology,Specialization / Activities,Functional Consultant,Testing Functional Features,,,,,
Information Technology,Specialization / Activities,Cloud Computing,Cloud Computing Deployment Planning,,,,,
Information Technology,Specialization / Activities,Cloud Computing,Cloud Management,,,,,
Information Technology,Specialization / Activities,Cloud Computing,"Design, Architect Solution",,,,,
Information Technology,Specialization / Activities,Cloud Computing,"Develop, Deploy Applications",,,,,
Information Technology,Specialization / Activities,Data Center Operations,Consulting & Architecting,,,,,
Information Technology,Specialization / Activities,Data Center Operations,Data Center Design & Implementation,,,,,
Information Technology,Specialization / Activities,Data Center Operations,Data Center Migration Services,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Architecture and Design,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Backup and Recovery,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Builds/Deployments,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Capacity Management,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Managed Services,,,,,
Information Technology,Specialization / Activities,Database Management Services,Database Performance Monitoring and Tuning,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Build and Release Management,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Change Management,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Packaging from Source Code,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Releasing Upgrades and Patches,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Using Configuration Management Tools,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Version Control,,,,,
Information Technology,Specialization / Activities,Software Configuration and Release Management,Writing Scripts,,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,File System Backup,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,Full System Backup,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,Key File Backup,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,Offline Backup,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,Online Backup,,,,
Information Technology,Specialization / Activities,System Administration,BackUp and Recovery,Tape Management,,,,
Information Technology,Specialization / Activities,System Administration,User Administration,Password Management,,,,
Information Technology,Specialization / Activities,System Administration,User Administration,Manage User Accounts,,,,
Information Technology,Specialization / Activities,System Administration,User Administration,Setup User Accounts,,,,
Information Technology,Specialization / Activities,System Administration,System Security Management,Anti Virus Scanning,,,,
Information Technology,Specialization / Activities,System Administration,System Security Management,Anti Virus File Updation,,,,
Information Technology,Specialization / Activities,System Administration,System Security Management,Firewalls,,,,
Information Technology,Specialization / Activities,System Administration,System Security Management,User Account Access Controls,,,,
Information Technology,Specialization / Activities,System Administration,System Security Management,Intrusion Detection Systems,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,CPU Usage,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,End User Response Time,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,Memory Usage,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,Hardware Utilization,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,Load Testing,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,Server Clock/Time Synchronization,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,System Paging,,,,
Information Technology,Specialization / Activities,System Administration,System Performance Tuning,System Performance Audits,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Hardware Audits,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Activity logs & Alerts,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Remote Monitoring,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Problem Resolution,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Software Audits,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Service Issue Monitoring,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,System Audits,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,System Logs & Alerts,,,,
Information Technology,Specialization / Activities,System Administration,System Monitoring,Troubleshooting,,,,
Information Technology,Specialization / Activities,System Administration,System Maintenance,Updates,,,,
Information Technology,Specialization / Activities,System Administration,System Maintenance,Patches,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,Administration Security,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,Data Security,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,File System Security,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,Protocols Security,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,User / Password Security,,,,
Information Technology,Specialization / Activities,System Administration,Server Security Administration,Security Auditing,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Critical Patches,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Control Panel Updates,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Disk Defragmentation,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Kernel Updates and Upgrades,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Log Auditing/Analysis,,,,
Information Technology,Specialization / Activities,System Administration,Server Optimization,Software Updates and Upgrades,,,,
Information Technology,Specialization / Activities,System Administration,Policy Creation and Management,Backup and Recovery Policy,,,,
Information Technology,Specialization / Activities,System Administration,Policy Creation and Management,Network Management Policy,,,,
Information Technology,Specialization / Activities,System Administration,Policy Creation and Management,System Management Policy,,,,
Information Technology,Specialization / Activities,System Administration,Policy Creation and Management,Security Management Policy,,,,
Information Technology,Specialization / Activities,System Administration,Policy Creation and Management,User Management Policy,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Applications,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,RAM,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Software,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Peripherals,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Printers,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Network Interface Cards,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Operating System,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Drivers,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Disk Drives,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Computers,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,CD-ROMs,,,,
Information Technology,Specialization / Activities,System Administration,Installation & Configuration,Terminals,,,,
Information Technology,Specialization / Activities,System Administration,Group Administration,Password Management,,,,
Information Technology,Specialization / Activities,System Administration,Group Administration,Setup Group Accounts,,,,
Information Technology,Specialization / Activities,System Administration,Group Administration,Manage Group Accounts,,,,
Information Technology,Specialization / Activities,System Administration,File System Management,Adding,,,,
Information Technology,Specialization / Activities,System Administration,File System Management,Deleting,,,,
Information Technology,Specialization / Activities,System Administration,File System Management,Configuring,,,,
Information Technology,Specialization / Activities,System Administration,File System Management,File System Integrity Diagnostics,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Configuration Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Hardware Audit Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Hardware/Software Inventory,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Policy Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Installation Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Software Audit Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,Standard Operating Procedures,,,,
Information Technology,Specialization / Activities,System Administration,Documentation,System Audits Documentation,,,,
Information Technology,Specialization / Activities,System Administration,Basic Networking Activities,Configuring and Managing Emails,,,,
Information Technology,Specialization / Activities,System Administration,Basic Networking Activities,Configuring and Managing DHCP,,,,
Information Technology,Specialization / Activities,System Administration,Basic Networking Activities,Configuring and Managing TCP/IP,,,,
Information Technology,Specialization / Activities,System Administration,Basic Networking Activities,Configuring and Managing DNS,,,,
Information Technology,Specialization / Activities,Network Administration,Configuration of Client Components,Servers,,,,
Information Technology,Specialization / Activities,Network Administration,Configuration of Client Components,Shared Printers and Other Peripherals,,,,
Information Technology,Specialization / Activities,Network Administration,Configuration of Client Components,Workstations,,,,
Information Technology,Specialization / Activities,Network Administration,Network Performance Monitoring & Troubleshooting,Bandwidth,,,,
Information Technology,Specialization / Activities,Network Administration,Network Performance Monitoring & Troubleshooting,Error Rate,,,,
Information Technology,Specialization / Activities,Network Administration,Network Performance Monitoring & Troubleshooting,Jitter,,,,
Information Technology,Specialization / Activities,Network Administration,Network Performance Monitoring & Troubleshooting,Throughput,,,,
Information Technology,Specialization / Activities,Network Administration,Network Performance Monitoring & Troubleshooting,Latency,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Cluster Traffic Distribution,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Throughput,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Switch Occupancy,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Remote Control,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Response Time,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Port Rules,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Network Load Balancing Architecture,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Multicast Modes,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Managing Application State,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Managing Server Applications,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Maintenance and Rolling Upgrades,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Load Balancing Algorithm,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,IP Addresses,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Host Priorities,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,CPU Overhead,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Convergence,,,,
Information Technology,Specialization / Activities,Network Administration,Network Load Balancing,Unicast Mode,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Bridges,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Setting the order of Protocols,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Simple Network Management Protocol,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Shared Printers and Other Peripherals,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Servers,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Routers,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Protocol Converter,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Repeaters,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Online Game,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Time Service,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Video on Demand,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Workstations,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Wireless Sensor Network,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Wireless Network interface Controller,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Wireless Access Points,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Voice over IP,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Video Telephony,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Switches,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Transceivers,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Printing,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Network Interface Controller,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Firewalls,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,File Sharing,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Directory services,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,File Server,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,E-Mail,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,"Computer Workgroups, Names and Domains",,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Channel Service Unit/Data Service Unit,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Bridge Router,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Hubs,,,,
Information Technology,Specialization / Activities,Network Administration,Network Installation,Gateways,,,,
